motor_catalogador.py | imports=['os', 'ast', 'collections'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\markers.py | imports=['__future__', 'operator', 'os', 'platform', 'sys', 'typing', '_parser', '_parser', '_tokenizer', 'specifiers', 'utils'] | funcoes=15 | classes=5
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\metadata.py | imports=['__future__', 'email.feedparser', 'email.header', 'email.message', 'email.parser', 'email.policy', 'keyword', 'pathlib', 'sys', 'typing', 'typing', None, None, 'licenses'] | funcoes=30 | classes=7
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\pylock.py | imports=['__future__', 'dataclasses', 'logging', 're', 'collections.abc', 'dataclasses', 'datetime', 'typing', 'markers', 'specifiers', 'utils', 'version', 'pathlib', 'typing_extensions'] | funcoes=38 | classes=11
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\requirements.py | imports=['__future__', 'typing', '_parser', '_tokenizer', 'markers', 'specifiers', 'utils'] | funcoes=6 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\specifiers.py | imports=['__future__', 'abc', 'itertools', 're', 'typing', 'utils', 'version'] | funcoes=52 | classes=4
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\tags.py | imports=['__future__', 'logging', 'platform', 're', 'struct', 'subprocess', 'sys', 'sysconfig', 'importlib.machinery', 'typing', None] | funcoes=32 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\utils.py | imports=['__future__', 're', 'typing', 'tags', 'version'] | funcoes=5 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\version.py | imports=['__future__', 're', 'sys', 'typing', 'typing', '_structures', 'typing_extensions', 'warnings', 'typing_extensions', 'functools', 'warnings'] | funcoes=45 | classes=6
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\_elffile.py | imports=['__future__', 'enum', 'os', 'struct', 'typing'] | funcoes=3 | classes=5
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\packaging\_manylinux.py | imports=['__future__', 'collections', 'contextlib', 'functools', 'os', 're', 'sys', 'warnings', 'typing', '_elffile', 'ctypes', '_manylinux'] | funcoes=11 | classes=1
