motor_catalogador.py | imports=['os', 'ast', 'collections'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\install\wheel.py | imports=['collections', 'compileall', 'contextlib', 'csv', 'importlib', 'logging', 'os.path', 're', 'shutil', 'sys', 'warnings', 'base64', 'email.message', 'itertools', 'typing', 'zipfile', 'pip._vendor.distlib.scripts', 'pip._vendor.distlib.util', 'pip._vendor.packaging.utils', 'pip._internal.exceptions', 'pip._internal.locations', 'pip._internal.metadata', 'pip._internal.models.direct_url', 'pip._internal.models.scheme', 'pip._internal.utils.filesystem', 'pip._internal.utils.misc', 'pip._internal.utils.unpacking', 'pip._internal.utils.wheel', 'typing'] | funcoes=36 | classes=5
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\install\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\req\constructors.py | imports=['copy', 'logging', 'os', 're', 'typing', 'pip._vendor.packaging.markers', 'pip._vendor.packaging.requirements', 'pip._vendor.packaging.specifiers', 'pip._internal.exceptions', 'pip._internal.models.index', 'pip._internal.models.link', 'pip._internal.models.wheel', 'pip._internal.req.req_file', 'pip._internal.req.req_install', 'pip._internal.utils.filetypes', 'pip._internal.utils.misc', 'pip._internal.utils.packaging', 'pip._internal.utils.urls', 'pip._internal.vcs'] | funcoes=20 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\req\req_file.py | imports=['logging', 'optparse', 'os', 're', 'shlex', 'urllib.parse', 'optparse', 'typing', 'pip._internal.cli', 'pip._internal.exceptions', 'pip._internal.models.search_scope', 'pip._internal.network.session', 'pip._internal.network.utils', 'pip._internal.utils.encoding', 'pip._internal.utils.urls', 'typing', 'pip._internal.index.package_finder'] | funcoes=21 | classes=4
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\req\req_install.py | imports=['functools', 'logging', 'os', 'shutil', 'sys', 'uuid', 'zipfile', 'optparse', 'pathlib', 'typing', 'pip._vendor.packaging.markers', 'pip._vendor.packaging.requirements', 'pip._vendor.packaging.specifiers', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._vendor.packaging.version', 'pip._vendor.pyproject_hooks', 'pip._internal.build_env', 'pip._internal.exceptions', 'pip._internal.locations', 'pip._internal.metadata', 'pip._internal.metadata.base', 'pip._internal.models.direct_url', 'pip._internal.models.link', 'pip._internal.operations.build.metadata', 'pip._internal.operations.build.metadata_editable', 'pip._internal.operations.build.metadata_legacy', 'pip._internal.operations.install.editable_legacy', 'pip._internal.operations.install.wheel', 'pip._internal.pyproject', 'pip._internal.req.req_uninstall', 'pip._internal.utils.deprecation', 'pip._internal.utils.hashes', 'pip._internal.utils.misc', 'pip._internal.utils.packaging', 'pip._internal.utils.subprocess', 'pip._internal.utils.temp_dir', 'pip._internal.utils.unpacking', 'pip._internal.utils.virtualenv', 'pip._internal.vcs'] | funcoes=41 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\req\req_set.py | imports=['logging', 'collections', 'typing', 'pip._vendor.packaging.specifiers', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._internal.req.req_install', 'pip._internal.utils.deprecation'] | funcoes=10 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\req\req_uninstall.py | imports=['functools', 'os', 'sys', 'sysconfig', 'importlib.util', 'typing', 'pip._internal.exceptions', 'pip._internal.locations', 'pip._internal.metadata', 'pip._internal.utils.compat', 'pip._internal.utils.egg_link', 'pip._internal.utils.logging', 'pip._internal.utils.misc', 'pip._internal.utils.temp_dir', 'pip._internal.utils.virtualenv'] | funcoes=30 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\req\__init__.py | imports=['collections', 'logging', 'typing', 'pip._internal.utils.logging', 'req_file', 'req_install', 'req_set'] | funcoes=4 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\base.py | imports=['typing', 'pip._internal.req.req_install', 'pip._internal.req.req_set'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py | imports=['logging', 'sys', 'collections', 'itertools', 'typing', 'pip._vendor.packaging', 'pip._vendor.packaging.requirements', 'pip._internal.cache', 'pip._internal.exceptions', 'pip._internal.index.package_finder', 'pip._internal.metadata', 'pip._internal.models.link', 'pip._internal.models.wheel', 'pip._internal.operations.prepare', 'pip._internal.req.req_install', 'pip._internal.req.req_set', 'pip._internal.resolution.base', 'pip._internal.utils', 'pip._internal.utils.compatibility_tags', 'pip._internal.utils.direct_url_helpers', 'pip._internal.utils.logging', 'pip._internal.utils.misc', 'pip._internal.utils.packaging'] | funcoes=14 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py | imports=['typing', 'pip._vendor.packaging.specifiers', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._internal.models.link', 'pip._internal.req.req_install', 'pip._internal.utils.hashes'] | funcoes=22 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py | imports=['logging', 'sys', 'typing', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._internal.exceptions', 'pip._internal.metadata', 'pip._internal.models.link', 'pip._internal.models.wheel', 'pip._internal.req.constructors', 'pip._internal.req.req_install', 'pip._internal.utils.direct_url_helpers', 'pip._internal.utils.misc', 'base', 'factory'] | funcoes=59 | classes=6
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py | imports=['contextlib', 'functools', 'logging', 'typing', 'pip._vendor.packaging.requirements', 'pip._vendor.packaging.specifiers', 'pip._vendor.packaging.utils', 'pip._vendor.resolvelib', 'pip._internal.cache', 'pip._internal.exceptions', 'pip._internal.index.package_finder', 'pip._internal.metadata', 'pip._internal.models.link', 'pip._internal.models.wheel', 'pip._internal.operations.prepare', 'pip._internal.req.constructors', 'pip._internal.req.req_install', 'pip._internal.resolution.base', 'pip._internal.utils.compatibility_tags', 'pip._internal.utils.hashes', 'pip._internal.utils.packaging', 'pip._internal.utils.virtualenv', 'base', 'candidates', 'found_candidates', 'requirements', 'typing'] | funcoes=26 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py | imports=['functools', 'collections.abc', 'typing', 'pip._vendor.packaging.version', 'base'] | funcoes=8 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py | imports=['collections', 'math', 'typing', 'pip._vendor.resolvelib.providers', 'base', 'candidates', 'factory', 'pip._vendor.resolvelib.providers', 'pip._vendor.resolvelib.resolvers'] | funcoes=9 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py | imports=['collections', 'logging', 'typing', 'pip._vendor.resolvelib.reporters', 'base'] | funcoes=9 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py | imports=['pip._vendor.packaging.specifiers', 'pip._vendor.packaging.utils', 'pip._internal.req.constructors', 'pip._internal.req.req_install', 'base'] | funcoes=33 | classes=5
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py | imports=['contextlib', 'functools', 'logging', 'os', 'typing', 'pip._vendor.packaging.utils', 'pip._vendor.resolvelib', 'pip._vendor.resolvelib', 'pip._vendor.resolvelib.structs', 'pip._internal.cache', 'pip._internal.index.package_finder', 'pip._internal.operations.prepare', 'pip._internal.req.constructors', 'pip._internal.req.req_install', 'pip._internal.req.req_set', 'pip._internal.resolution.base', 'pip._internal.resolution.resolvelib.provider', 'pip._internal.resolution.resolvelib.reporter', 'pip._internal.utils.packaging', 'base', 'factory', 'pip._vendor.resolvelib.resolvers'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\appdirs.py | imports=['os', 'sys', 'typing', 'pip._vendor'] | funcoes=4 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\compat.py | imports=['logging', 'os', 'sys', 'pip._vendor.urllib3.util', '_ssl'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\compatibility_tags.py | imports=['re', 'typing', 'pip._vendor.packaging.tags'] | funcoes=8 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\datetime.py | imports=['datetime'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\deprecation.py | imports=['logging', 'warnings', 'typing', 'pip._vendor.packaging.version', 'pip'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py | imports=['typing', 'pip._internal.models.direct_url', 'pip._internal.models.link', 'pip._internal.utils.urls', 'pip._internal.vcs'] | funcoes=3 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\egg_link.py | imports=['os', 're', 'sys', 'typing', 'pip._internal.locations', 'pip._internal.utils.virtualenv'] | funcoes=3 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\encoding.py | imports=['codecs', 'locale', 're', 'sys', 'typing'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\entrypoints.py | imports=['itertools', 'os', 'shutil', 'sys', 'typing', 'pip._internal.cli.main', 'pip._internal.utils.compat'] | funcoes=3 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\filesystem.py | imports=['fnmatch', 'os', 'os.path', 'random', 'sys', 'contextlib', 'tempfile', 'typing', 'pip._vendor.tenacity', 'pip._internal.utils.compat', 'pip._internal.utils.misc'] | funcoes=9 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\filetypes.py | imports=['typing', 'pip._internal.utils.misc'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\glibc.py | imports=['os', 'sys', 'typing', 'ctypes'] | funcoes=4 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\hashes.py | imports=['hashlib', 'typing', 'pip._internal.exceptions', 'pip._internal.utils.misc', 'hashlib', 'typing'] | funcoes=14 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\logging.py | imports=['contextlib', 'errno', 'logging', 'logging.handlers', 'os', 'sys', 'threading', 'dataclasses', 'io', 'logging', 'typing', 'pip._vendor.rich.console', 'pip._vendor.rich.highlighter', 'pip._vendor.rich.logging', 'pip._vendor.rich.segment', 'pip._vendor.rich.style', 'pip._internal.utils._log', 'pip._internal.utils.compat', 'pip._internal.utils.deprecation', 'pip._internal.utils.misc'] | funcoes=15 | classes=7
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\misc.py | imports=['contextlib', 'errno', 'getpass', 'hashlib', 'io', 'logging', 'os', 'posixpath', 'shutil', 'stat', 'sys', 'sysconfig', 'urllib.parse', 'functools', 'io', 'itertools', 'pathlib', 'types', 'typing', 'pip._vendor.packaging.requirements', 'pip._vendor.pyproject_hooks', 'pip._vendor.tenacity', 'pip', 'pip._internal.exceptions', 'pip._internal.locations', 'pip._internal.utils.compat', 'pip._internal.utils.virtualenv'] | funcoes=64 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\models.py | imports=['operator', 'typing'] | funcoes=8 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\packaging.py | imports=['functools', 'logging', 're', 'typing', 'pip._vendor.packaging', 'pip._vendor.packaging.requirements'] | funcoes=3 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py | imports=['sys', 'textwrap', 'typing'] | funcoes=5 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\subprocess.py | imports=['logging', 'os', 'shlex', 'subprocess', 'typing', 'pip._vendor.rich.markup', 'pip._internal.cli.spinners', 'pip._internal.exceptions', 'pip._internal.utils.logging', 'pip._internal.utils.misc', 'typing'] | funcoes=6 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\temp_dir.py | imports=['errno', 'itertools', 'logging', 'os.path', 'tempfile', 'traceback', 'contextlib', 'pathlib', 'typing', 'pip._internal.utils.misc'] | funcoes=16 | classes=4
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\unpacking.py | imports=['logging', 'os', 'shutil', 'stat', 'tarfile', 'zipfile', 'typing', 'zipfile', 'pip._internal.exceptions', 'pip._internal.utils.filetypes', 'pip._internal.utils.misc', 'bz2', 'lzma'] | funcoes=9 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\urls.py | imports=['os', 'string', 'urllib.parse', 'urllib.request', 'typing', 'compat'] | funcoes=3 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\virtualenv.py | imports=['logging', 'os', 're', 'site', 'sys', 'typing'] | funcoes=7 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\wheel.py | imports=['logging', 'email.message', 'email.parser', 'typing', 'zipfile', 'pip._vendor.packaging.utils', 'pip._internal.exceptions'] | funcoes=6 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py | imports=['functools', 'itertools'] | funcoes=5 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\_log.py | imports=['logging', 'typing'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\utils\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\vcs\bazaar.py | imports=['logging', 'typing', 'pip._internal.utils.misc', 'pip._internal.utils.subprocess', 'pip._internal.utils.urls', 'pip._internal.vcs.versioncontrol'] | funcoes=8 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\vcs\git.py | imports=['logging', 'os.path', 'pathlib', 're', 'urllib.parse', 'urllib.request', 'typing', 'pip._internal.exceptions', 'pip._internal.utils.misc', 'pip._internal.utils.subprocess', 'pip._internal.vcs.versioncontrol'] | funcoes=21 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\vcs\mercurial.py | imports=['configparser', 'logging', 'os', 'typing', 'pip._internal.exceptions', 'pip._internal.utils.misc', 'pip._internal.utils.subprocess', 'pip._internal.utils.urls', 'pip._internal.vcs.versioncontrol'] | funcoes=10 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\vcs\subversion.py | imports=['logging', 'os', 're', 'typing', 'pip._internal.utils.misc', 'pip._internal.utils.subprocess', 'pip._internal.vcs.versioncontrol', 'pip._internal.exceptions'] | funcoes=16 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py | imports=['logging', 'os', 'shutil', 'sys', 'urllib.parse', 'typing', 'pip._internal.cli.spinners', 'pip._internal.exceptions', 'pip._internal.utils.misc', 'pip._internal.utils.subprocess', 'pip._internal.utils.urls', 'typing'] | funcoes=45 | classes=5
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\vcs\__init__.py | imports=['pip._internal.vcs.bazaar', 'pip._internal.vcs.git', 'pip._internal.vcs.mercurial', 'pip._internal.vcs.subversion', 'pip._internal.vcs.versioncontrol'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\six.py | imports=['__future__', 'functools', 'itertools', 'operator', 'sys', 'types', 'importlib.util', 'struct', 'io', 'StringIO'] | funcoes=69 | classes=15
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\typing_extensions.py | imports=['abc', 'collections', 'collections.abc', 'functools', 'inspect', 'operator', 'sys', 'types', 'typing', 'warnings', 'typing', 'typing', 'typing'] | funcoes=168 | classes=44
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\__init__.py | imports=['__future__', 'glob', 'os.path', 'sys'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py | imports=['__future__', 'functools', 'types', 'zlib', 'typing', 'pip._vendor.requests.adapters', 'pip._vendor.cachecontrol.cache', 'pip._vendor.cachecontrol.controller', 'pip._vendor.cachecontrol.filewrapper', 'pip._vendor.requests', 'pip._vendor.urllib3', 'pip._vendor.cachecontrol.cache', 'pip._vendor.cachecontrol.heuristics', 'pip._vendor.cachecontrol.serialize'] | funcoes=5 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py | imports=['__future__', 'threading', 'typing', 'datetime'] | funcoes=10 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py | imports=['__future__', 'calendar', 'logging', 're', 'time', 'email.utils', 'typing', 'pip._vendor.requests.structures', 'pip._vendor.cachecontrol.cache', 'pip._vendor.cachecontrol.serialize', 'typing', 'pip._vendor.requests', 'pip._vendor.urllib3', 'pip._vendor.cachecontrol.cache'] | funcoes=11 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py | imports=['__future__', 'mmap', 'tempfile', 'typing', 'http.client'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py | imports=['__future__', 'calendar', 'time', 'datetime', 'email.utils', 'typing', 'pip._vendor.urllib3'] | funcoes=11 | classes=4
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py | imports=['__future__', 'io', 'typing', 'pip._vendor', 'pip._vendor.requests.structures', 'pip._vendor.urllib3', 'pip._vendor.requests'] | funcoes=9 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\wrapper.py | imports=['__future__', 'typing', 'pip._vendor.cachecontrol.adapter', 'pip._vendor.cachecontrol.cache', 'pip._vendor', 'pip._vendor.cachecontrol.cache', 'pip._vendor.cachecontrol.controller', 'pip._vendor.cachecontrol.heuristics', 'pip._vendor.cachecontrol.serialize'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py | imports=['__future__', 'logging', 'argparse', 'typing', 'pip._vendor', 'pip._vendor.cachecontrol.adapter', 'pip._vendor.cachecontrol.cache', 'pip._vendor.cachecontrol.controller', 'argparse', 'pip._vendor.cachecontrol.controller'] | funcoes=4 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\__init__.py | imports=['pip._vendor.cachecontrol.adapter', 'pip._vendor.cachecontrol.controller', 'pip._vendor.cachecontrol.wrapper', 'logging'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py | imports=['__future__', 'hashlib', 'os', 'textwrap', 'typing', 'pip._vendor.cachecontrol.cache', 'pip._vendor.cachecontrol.controller', 'datetime', 'filelock', 'filelock'] | funcoes=13 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py | imports=['__future__', 'datetime', 'typing', 'pip._vendor.cachecontrol.cache', 'redis'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__init__.py | imports=['pip._vendor.cachecontrol.caches.file_cache', 'pip._vendor.cachecontrol.caches.redis_cache'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\certifi\core.py | imports=['sys', 'importlib.resources', 'importlib.resources', 'os', 'types', 'typing'] | funcoes=7 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\certifi\__init__.py | imports=['core'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\certifi\__main__.py | imports=['argparse', 'pip._vendor.certifi'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\big5freq.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\big5prober.py | imports=['chardistribution', 'codingstatemachine', 'mbcharsetprober', 'mbcssm'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\chardistribution.py | imports=['typing', 'big5freq', 'euckrfreq', 'euctwfreq', 'gb2312freq', 'jisfreq', 'johabfreq'] | funcoes=20 | classes=8
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\charsetgroupprober.py | imports=['typing', 'charsetprober', 'enums'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\charsetprober.py | imports=['logging', 're', 'typing', 'enums'] | funcoes=10 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\codingstatemachine.py | imports=['logging', 'codingstatemachinedict', 'enums'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\codingstatemachinedict.py | imports=['typing', 'typing'] | funcoes=0 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\cp949prober.py | imports=['chardistribution', 'codingstatemachine', 'mbcharsetprober', 'mbcssm'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\enums.py | imports=['enum'] | funcoes=1 | classes=6
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\escprober.py | imports=['typing', 'charsetprober', 'codingstatemachine', 'enums', 'escsm'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\escsm.py | imports=['codingstatemachinedict', 'enums'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\eucjpprober.py | imports=['typing', 'chardistribution', 'codingstatemachine', 'enums', 'jpcntx', 'mbcharsetprober', 'mbcssm'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\euckrfreq.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\euckrprober.py | imports=['chardistribution', 'codingstatemachine', 'mbcharsetprober', 'mbcssm'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\euctwfreq.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\euctwprober.py | imports=['chardistribution', 'codingstatemachine', 'mbcharsetprober', 'mbcssm'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\gb2312freq.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\gb2312prober.py | imports=['chardistribution', 'codingstatemachine', 'mbcharsetprober', 'mbcssm'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\hebrewprober.py | imports=['typing', 'charsetprober', 'enums', 'sbcharsetprober'] | funcoes=9 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\jisfreq.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\johabfreq.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\johabprober.py | imports=['chardistribution', 'codingstatemachine', 'mbcharsetprober', 'mbcssm'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\jpcntx.py | imports=['typing'] | funcoes=10 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\langbulgarianmodel.py | imports=['pip._vendor.chardet.sbcharsetprober'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\langgreekmodel.py | imports=['pip._vendor.chardet.sbcharsetprober'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\langhebrewmodel.py | imports=['pip._vendor.chardet.sbcharsetprober'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\langhungarianmodel.py | imports=['pip._vendor.chardet.sbcharsetprober'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_vendor\chardet\langrussianmodel.py | imports=['pip._vendor.chardet.sbcharsetprober'] | funcoes=0 | classes=0
